"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Barbados","BRB","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","218.542","218.576","209.206","203.191","196.338","193.614","188.07","192.15","189.619","189.6","194.738","197.893","195.381","204.505","202.307","194.419","191.153","185.45","180.6","178.018","167.583","158.238","157.76","157.014","157.433","157.264","154.808","158.833","165.633","171.364","173.869","177.153","180.256","183.489","188.56","187.904","187.709","191.705","181.188","178.914","173.799","167.147","162.215","158.87","151.5","155.325","153.984","152.316","151.65","150.134","148.381","147.05","144.813","144.202","142.834","140.95","139.768","138.618","137.05","135.747","133.62","134.297","137.941","135.207","",
"Brunei Darussalam","BRN","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","301.535","296.569","339.137","285.663","277.926","273.328","264.81","259.262","251.942","246.651","240.572","234.21","229.041","225.134","221.035","216.796","213.85","212.074","209.518","207.964","206.777","205.753","204.77","203.255","202.544","201.152","199.129","197.6","195.104","192.67","190.122","187.264","184.272","181.123","177.843","174.182","171.091","167.796","164.311","161.302","158.544","156.001","153.828","151.684","150.325","149.026","147.811","147.01","146.407","146.159","145.813","145.529","145.291","145.06","144.783","144.419","143.941","143.31","142.533","141.614","140.616","146.409","194.348","137.466","",
"Bhutan","BTN","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","556.888","553.384","549.39","544.914","539.882","534.422","527.907","520.721","513.136","505.46","497.605","489.579","481.672","473.929","465.931","456.771","448.362","440.01","432.054","424.115","416.187","407.628","398.684","389.952","381.306","373.867","365.107","356.077","348.201","340.739","333.669","327.084","318.521","310.672","304.746","295.543","287.752","280.664","273.013","265.185","266.391","250.66","243.691","236.226","229.2","222.624","216.233","208.375","201.275","195.644","189.361","183.27","177.122","171.884","167.389","163.505","160.121","157.185","153.888","150.434","148.528","145.269","141.902","139.392","",
"Botswana","BWA","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","402.5","398.16","393.848","389.408","385.641","382.116","379.051","375.373","371.358","367.115","362.234","356.574","350.816","344.839","338.714","332.749","326.467","320.38","315.375","310.336","308.885","305.466","305.623","310.597","316.897","330.163","346.492","370.244","403.029","425.491","454.898","487.555","480.995","487.995","519.627","553.222","544.791","553.565","563.893","569.576","575.114","577.041","576.001","566.628","550.657","535.052","506.171","473.095","453.122","453.604","439.582","423.852","406.166","385.13","363.005","340.507","317.62","295.151","276.17","260.564","246.874","336.849","231.26","224.835","",
"Central African Republic","CAF","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","504.646","499.069","493.378","487.523","481.443","474.825","468.181","461.338","454.256","446.922","439.26","431.782","424.495","417.126","410.501","404.785","399.431","394.852","391.102","388.214","386.157","384.888","384.426","384.731","385.808","387.728","390.191","394.34","399.967","406.136","414.726","424.771","436.936","449.289","462.785","476.442","490.792","504.039","510.291","516.946","523.217","524.305","528.227","517.642","512.537","505.968","501.599","490.857","482.259","995.058","571.503","499.162","474.162","533.953","734.33","480.133","509.758","646.835","490.96","881.247","539.431","761.637","985.908","393.481","",
"Canada","CAN","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","192.876","190.728","191.161","191.753","191.376","192.02","193.593","193.039","189.613","190.227","187.159","186.309","187.942","189.606","188.174","184.899","181.014","179.717","176.041","171.029","163.92","159.201","153.004","148.844","142.353","142.122","139.846","135.672","131.239","130.036","127.319","124.704","123.387","123.68","119.16","118.543","113.675","109.35","105.573","104.145","100.915","99.426","96.835","96.936","94.71","94.342","91.811","91.755","89.926","87.755","85.399","82.916","82.45","81.208","81.436","81.203","82.791","85.803","86.018","82.636","94.266","100.07","96.219","","",
"Central Europe and the Baltics","CEB","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","198.140507596302","195.012962328512","197.027766800389","193.621025617456","187.146921035856","187.68934222126","187.987670613592","193.69291296155","195.687311774935","204.146737159103","203.151845634737","207.774856250138","203.098355578102","205.770402394765","203.92519254385","210.152266965622","213.68391760483","220.786079512196","227.556556565807","230.898247886173","240.88670227143","235.764161501783","234.032136417686","241.553114007443","245.734145108973","247.532321633924","243.611342013532","243.656022640439","241.258489784814","248.753526756655","255.861329716401","261.741473875573","264.52724296877","262.087067382028","263.678769280881","263.492675034301","252.967732680674","250.69840446363","244.153097504729","236.373460062411","226.52113986519","224.147486327693","221.502481146064","219.403671565625","216.732668424927","215.892635933901","213.654819786438","212.007357352807","207.349249536703","199.968966906219","193.02200706661","184.448683416069","179.682466852491","171.653777992032","168.183260165574","167.111959605222","164.402450453171","161.473086977323","161.846735202316","158.011028267436","171.580599360239","185.017907231162","","","",
"Switzerland","CHE","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","178.515","180.63","183.998","185.058","176.195","167.99","171.012","166.421","167.875","168.338","166.223","161.965","159.211","152.114","150.495","153.666","149.886","149.934","149.645","146.367","145.031","143.991","144.644","140.457","135.569","132.011","129.969","130.388","127.167","127.624","126.484","129.704","126.173","119.107","118.902","117.692","108.872","107.232","103.954","97.252","99.439","94.505","91.8","90.441","87.49","84.241","79.749","78.545","75.467","75.903","71.146","68.348","66.999","66.885","63.344","62.284","58.204","60.213","57.573","54.626","56.763","56.868","56.128","52.93","",
"Channel Islands","CHI","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","164","180","176","183","173","173","163","168","178","176","175","175","173","166","173","169","166","162","157","158","147","154","155","135","131","132","124","122","121","112","109","114","104","106","100","96","92","90","87","79","83","82","80","77","74","71","69","67","66","64","62","61","61","60","60","61","62","64","64","63","65","69","63","63","",
"Chile","CHL","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","319.841","326.624","319.849","318.701","312.968","307.479","296.422","292.818","287.311","283.212","283.698","278.137","267.503","259.131","247.458","235.688","229.038","225.272","223.435","217.034","212.08","208.895","207.416","202.002","199.02","191.553","183.16","178.281","177.132","173.164","170.876","167.866","165.058","161.711","158.899","155.918","154.237","151.93","146.585","143.056","139.187","134.987","133.835","130.67","126.038","124.584","122.644","120.837","119.354","117.22","116.578","113.262","112.371","109.713","109.257","107.535","105.275","102.645","103.499","107.386","112.593","127.874","123.827","98.032","",
